Date,Time,Plate_English,Plate_Arabic
2026-05-11,00:32:19,6483 RbU,ع ي ق ٦٤٨٣
2026-05-11,00:32:27,877388 W,ل ٨٧٧٣٨٨
2026-05-11,00:33:39,546 UEB,ق ج ب ٥٤٦
2026-05-11,00:34:12,4 , ٤
2026-05-11,00:34:17,546 UEB,ق ج ب ٥٤٦
2026-05-11,00:34:28,66 , ٦٦
2026-05-11,00:34:35, I,ذ 
2026-05-11,00:34:42,777 , ٧٧٧
2026-05-11,00:34:49,111 JA,ر ا ١١١
2026-05-11,00:34:54,123 RRR,ع ع ع ١٢٣
2026-05-11,00:35:01,888 RWb,ع ل ي ٨٨٨
2026-05-11,00:35:06, Z,هـ 
2026-05-11,00:35:12,6483 RbU,ع ي ق ٦٤٨٣
2026-05-11,00:35:18, RJ,ع ر 
2026-05-11,00:35:27,44 EYb,ج ن ي ٤٤
2026-05-11,00:36:00, , 
2026-05-11,00:36:08,8 nNJ,م ص ر ٨
2026-05-11,00:36:15,888 RWb,ع ل ي ٨٨٨
2026-05-11,00:36:20,3945 PBE,ط ب ج ٣٩٤٥
2026-05-11,00:36:25,5 , ٥
2026-05-11,00:36:31,51 Zn,هـ م ٥١
2026-05-11,00:36:58,1 Zn,هـ م ١
2026-05-11,00:37:06,4444 EJa,ج ر و ٤٤٤٤
2026-05-11,00:37:13,66 LLL,س س س ٦٦
2026-05-11,00:37:19,66 LLL,س س س ٦٦
2026-05-11,00:37:22,4391 JZa,ر هـ و ٤٣٩١
2026-05-11,00:37:28,95285 ETN,ج ف ص ٩٥٢٨٥
2026-05-11,00:37:39,7214 HJa,د ر و ٧٢١٤
2026-05-11,00:37:47,877388 W,ل ٨٧٧٣٨٨
2026-05-11,00:37:51,1 JJB,ر ر ب ١
2026-05-11,00:38:17,1 JB,ر ب ١
2026-05-11,00:38:23,1 Zan,هـ و م ١
2026-05-11,00:38:29,8 nNJ,م ص ر ٨
2026-05-11,00:38:33,8888 WYL,ل ن س ٨٨٨٨
2026-05-11,00:38:38,5 HBRJ,د ب ع ر ٥
2026-05-11,00:38:44,888 RWb,ع ل ي ٨٨٨
2026-05-11,00:38:48,3945 PBE,ط ب ج ٣٩٤٥
2026-05-11,00:38:53,9 , ٩
2026-05-11,00:39:00,77516 EJZ,ج ر هـ ٧٧٥١٦
2026-05-11,00:39:09,47214 HJa,د ر و ٤٧٢١٤
2026-05-11,00:40:08,1111 T,ف ١١١١
2026-05-11,00:40:16,4391 JZa,ر هـ و ٤٣٩١
2026-05-11,00:40:22,47214 HJa,د ر و ٤٧٢١٤
2026-05-11,00:40:28,1 Zn,هـ م ١
2026-05-11,00:40:33,1 JB,ر ب ١
2026-05-11,00:40:38,3945 PBE,ط ب ج ٣٩٤٥
2026-05-12,20:22:20,6483 RbU,ع ي ق ٦٤٨٣
2026-05-12,20:22:43,3945 PBE,ط ب ج ٣٩٤٥
2026-05-12,20:22:52,546 UEB,ق ج ب ٥٤٦
2026-05-12,20:23:19,8 nNJ,م ص ر ٨
2026-05-12,20:23:33,4444 EYb,ج ن ي ٤٤٤٤
2026-05-12,20:23:41,1 Zn,هـ م ١
2026-05-12,20:23:56,7 LBR,س ب ع ٧
2026-05-12,20:24:09,7214 HJa,د ر و ٧٢١٤
2026-05-12,20:24:23,1 AZn,ا هـ م ١
2026-05-12,20:25:01,4391 JZa,ر هـ و ٤٣٩١
2026-05-12,20:25:11,4444 EJa,ج ر و ٤٤٤٤
2026-05-12,20:25:24,777 bb,ي ي ٧٧٧
2026-05-12,20:26:10,3333 nAY,م ا ن ٣٣٣٣
